REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2021-2022,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State,Financial Year 2021-22,,,,,Apr-21,,,,,May-21,,,,,Jun-21,,,,,Jul-21,,,,,Aug-21,,,,,Sep-21,,,,,Oct-21,,,,,Nov-21,,,,,Dec-21,,,,,Jan-22,,,,,Feb-22,,,,,Mar-22,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL
08,Rajasthan," 10,231 "," 13,443 "," 12,934 "," 1,872 "," 38,480 "," 1,044.75 "," 1,368.78 "," 1,276.01 ", 130.79 ," 3,820.33 ", 579.26 , 782.08 , 913.53 , 189.01 ," 2,463.88 ", 621.09 , 781.45 , 683.54 , 89.88 ," 2,175.95 ", 858.43 ," 1,144.63 "," 1,006.67 ", 119.06 ," 3,128.80 ", 797.71 ," 1,029.31 "," 1,057.05 ", 164.45 ," 3,048.53 ", 739.56 , 987.22 ," 1,070.89 ", 161.09 ," 2,958.77 ", 925.53 ," 1,212.64 "," 1,128.78 ", 155.94 ," 3,422.88 ", 992.40 ," 1,312.62 "," 1,208.90 ", 184.51 ," 3,698.42 ", 812.64 ," 1,072.85 ", 987.82 , 184.20 ," 3,057.51 ", 971.70 ," 1,289.86 "," 1,215.70 ", 171.41 ," 3,648.67 ", 934.17 ," 1,213.39 "," 1,165.58 ", 155.54 ," 3,468.68 ", 953.69 ," 1,247.73 "," 1,219.47 ", 166.60 ," 3,587.49 "
09,Uttar Pradesh," 16,876 "," 23,766 "," 20,574 "," 12,649 "," 73,865 "," 1,746.12 "," 2,493.75 "," 2,031.18 "," 1,083.95 "," 7,355.00 "," 1,002.21 "," 1,436.93 "," 1,223.24 "," 1,047.18 "," 4,709.56 "," 1,091.48 "," 1,540.30 "," 1,175.67 ", 780.91 ," 4,588.36 "," 1,414.22 "," 2,030.79 "," 1,565.30 "," 1,000.33 "," 6,010.64 "," 1,377.19 "," 1,903.54 "," 1,621.48 "," 1,043.91 "," 5,946.12 "," 1,290.71 "," 1,826.51 "," 1,524.47 "," 1,050.09 "," 5,691.79 "," 1,574.74 "," 2,114.90 "," 2,000.73 "," 1,084.31 "," 6,774.69 "," 1,507.60 "," 2,157.92 "," 1,803.14 "," 1,167.49 "," 6,636.15 "," 1,323.86 "," 1,892.58 "," 1,704.26 "," 1,108.03 "," 6,028.73 "," 1,529.52 "," 2,178.70 "," 2,181.83 "," 1,095.50 "," 6,985.55 "," 1,465.09 "," 2,022.52 "," 1,754.00 "," 1,277.04 "," 6,518.65 "," 1,552.93 "," 2,167.95 "," 1,988.90 ", 909.98 ," 6,619.76 "
10,Bihar," 3,793 "," 6,083 "," 1,718 "," 1,940 "," 13,534 ", 440.54 , 675.73 , 227.95 , 164.00 ," 1,508.21 ", 198.92 , 366.65 , 110.92 , 172.55 , 849.04 , 242.46 , 368.62 , 119.86 , 158.01 , 888.95 , 357.19 , 603.26 , 149.34 , 171.21 ," 1,280.99 ", 287.83 , 478.67 , 144.73 , 125.72 ," 1,036.95 ", 222.85 , 365.45 , 126.89 , 160.36 , 875.55 , 444.22 , 620.40 , 138.59 , 147.89 ," 1,351.10 ", 284.03 , 481.25 , 113.19 , 151.47 ," 1,029.93 ", 258.35 , 441.66 , 113.76 , 149.17 , 962.94 , 327.85 , 552.08 , 145.40 , 171.09 ," 1,196.42 ", 351.46 , 550.11 , 156.36 , 148.41 ," 1,206.34 ", 377.01 , 579.55 , 170.81 , 220.53 ," 1,347.90 "
11,Sikkim, 188 , 254 ," 2,368 ", 1 ," 2,811 ", 25.02 , 34.94 , 197.75 , 0.15 , 257.85 , 10.30 , 11.87 , 227.60 , 0.03 , 249.80 , 11.04 , 17.75 , 182.92 , 0.01 , 211.73 , 15.64 , 23.67 , 158.00 , 0.02 , 197.33 , 12.57 , 16.23 , 190.26 , 0.03 , 219.08 , 14.99 , 20.07 , 224.97 , 0.01 , 260.04 , 15.81 , 24.30 , 217.19 , 0.04 , 257.34 , 13.36 , 18.65 , 175.21 , 0.10 , 207.32 , 23.60 , 21.67 , 203.63 , 0.05 , 248.95 , 15.00 , 24.72 , 209.51 , 0.38 , 249.61 , 15.60 , 21.26 , 185.30 , 0.11 , 222.27 , 15.14 , 19.23 , 195.57 , 0.02 , 229.96 
12,Arunachal Pradesh, 264 , 337 , 107 , 2 , 710 , 43.65 , 51.05 , 8.32 , 0.22 , 103.24 , 13.70 , 17.65 , 5.13 , 0.01 , 36.49 , 13.18 , 15.91 , 3.87 , 0.13 , 33.09 , 21.25 , 26.15 , 8.06 , 0.03 , 55.49 , 19.60 , 23.72 , 9.81 , 0.22 , 53.35 , 18.71 , 25.35 , 11.15 , 0.06 , 55.28 , 16.12 , 23.25 , 6.95 , 0.21 , 46.53 , 13.12 , 17.59 , 9.53 , 0.04 , 40.28 , 17.72 , 25.16 , 9.74 , 0.11 , 52.73 , 25.59 , 33.37 , 12.50 , 0.70 , 72.16 , 18.59 , 26.26 , 10.98 , 0.16 , 55.99 , 42.46 , 51.18 , 11.21 , 0.14 , 104.99 
13,Nagaland, 141 , 190 , 75 , 14 , 420 , 19.13 , 24.38 , 7.62 , 0.47 , 51.60 , 11.27 , 14.63 , 3.46 , 0.05 , 29.40 , 11.30 , 15.55 , 2.89 , 0.39 , 30.14 , 8.89 , 12.50 , 6.20 , 0.59 , 28.18 , 11.31 , 14.71 , 5.39 , 0.43 , 31.84 , 9.98 , 13.37 , 6.65 , 0.48 , 30.49 , 13.55 , 17.09 , 6.23 , 1.47 , 38.34 , 10.01 , 13.25 , 6.40 , 0.58 , 30.24 , 11.39 , 14.87 , 5.57 , 1.87 , 33.70 , 12.24 , 20.04 , 6.54 , 1.73 , 40.55 , 9.05 , 12.24 , 9.60 , 1.95 , 32.84 , 12.75 , 17.29 , 8.50 , 4.14 , 42.68 
14,Manipur, 211 , 287 , 52 , 2 , 551 , 43.43 , 55.39 , 3.61 , 0.25 , 102.67 , 7.71 , 10.53 , 3.37 , 0.00 , 21.62 , 8.64 , 11.06 , 2.11 , 0.04 , 21.84 , 14.09 , 19.84 , 3.19 , 0.27 , 37.38 , 15.84 , 23.20 , 5.43 , 0.04 , 44.52 , 11.86 , 17.52 , 3.32 , 0.12 , 32.81 , 27.23 , 32.93 , 4.02 , 0.06 , 64.24 , 12.13 , 17.94 , 5.33 , 0.10 , 35.49 , 17.84 , 25.02 , 4.70 , 0.30 , 47.86 , 16.13 , 20.82 , 7.26 , 0.09 , 44.30 , 14.12 , 19.52 , 5.02 , 0.13 , 38.79 , 22.18 , 32.82 , 4.36 , 0.28 , 59.64 
15,Mizoram, 118 , 163 , 35 , 0 , 316 , 22.14 , 30.10 , 5.09 , 0.01 , 57.34 , 4.94 , 6.89 , 2.89 , 0.01 , 14.73 , 5.79 , 7.92 , 3.64 , 0.02 , 17.38 , 6.94 , 11.38 , 2.64 , 0.03 , 20.99 , 5.89 , 8.05 , 1.97 , 0.03 , 15.95 , 7.50 , 10.91 , 1.11 , 0.05 , 19.57 , 12.52 , 15.97 , 3.31 , 0.04 , 31.83 , 8.90 , 12.03 , 2.05 , 0.02 , 23.01 , 7.42 , 10.24 , 1.91 , 0.03 , 19.60 , 11.99 , 17.51 , 5.09 , 0.17 , 34.76 , 9.65 , 12.26 , 2.29 , 0.03 , 24.23 , 14.24 , 19.98 , 2.54 , 0.01 , 36.77 
16,Tripura, 294 , 388 , 92 , 2 , 777 , 43.53 , 56.93 , 9.45 , 0.16 , 110.07 , 13.90 , 19.22 , 5.98 , 0.05 , 39.14 , 16.19 , 21.85 , 4.58 , 0.09 , 42.71 , 24.54 , 32.68 , 7.58 , 0.43 , 65.23 , 21.14 , 27.65 , 6.96 , 0.16 , 55.91 , 18.44 , 25.89 , 5.64 , 0.16 , 50.12 , 25.77 , 33.54 , 7.49 , 0.11 , 66.91 , 20.62 , 28.96 , 7.90 , 0.20 , 57.69 , 26.45 , 32.81 , 8.31 , 0.09 , 67.66 , 27.00 , 37.42 , 8.38 , 0.38 , 73.18 , 25.01 , 31.95 , 8.88 , 0.23 , 66.07 , 31.37 , 39.37 , 11.19 , 0.12 , 82.05 
17,Meghalaya, 294 , 367 ," 1,094 ", 9 ," 1,764 ", 39.67 , 46.35 , 119.67 , 0.43 , 206.12 , 14.23 , 16.75 , 93.14 , 0.21 , 124.33 , 13.98 , 17.26 , 73.46 , 0.15 , 104.85 , 21.90 , 28.98 , 70.10 , 0.12 , 121.10 , 22.64 , 27.60 , 66.95 , 2.17 , 119.36 , 22.62 , 29.24 , 67.53 , 0.14 , 119.54 , 23.58 , 27.08 , 89.30 , 0.24 , 140.20 , 27.05 , 35.63 , 89.21 , 0.31 , 152.18 , 21.86 , 27.12 , 99.16 , 0.49 , 148.63 , 26.95 , 35.60 , 83.27 , 0.49 , 146.31 , 31.25 , 38.37 , 130.20 , 0.74 , 200.56 , 28.52 , 36.69 , 112.22 , 3.49 , 180.92 
18,Assam," 3,641 "," 4,638 "," 3,325 ", 403 ," 12,007 ", 376.46 , 457.33 , 269.04 , 47.76 ," 1,150.59 ", 218.68 , 294.68 , 234.72 , 21.53 , 769.61 , 187.91 , 235.16 , 208.82 , 29.93 , 661.82 , 281.40 , 355.61 , 225.69 , 19.26 , 881.95 , 273.32 , 338.02 , 315.81 , 31.63 , 958.78 , 267.60 , 346.91 , 321.57 , 31.84 , 967.92 , 496.23 , 590.72 , 304.34 , 33.98 ," 1,425.27 ", 283.65 , 373.69 , 300.15 , 34.04 , 991.53 , 289.08 , 377.66 , 315.23 , 32.66 ," 1,014.63 ", 308.70 , 421.33 , 292.88 , 39.47 ," 1,062.38 ", 311.91 , 401.63 , 250.85 , 43.41 ," 1,007.80 ", 345.94 , 445.56 , 285.95 , 37.15 ," 1,114.60 "
19,West Bengal," 14,501 "," 18,164 "," 11,740 "," 3,494 "," 47,898 "," 1,624.73 "," 2,019.54 "," 1,219.83 ", 371.75 ," 5,235.85 "," 1,007.05 "," 1,322.10 ", 842.20 , 418.86 ," 3,590.21 ", 820.11 ," 1,020.95 ", 659.21 , 243.68 ," 2,743.94 "," 1,061.18 "," 1,346.36 ", 924.37 , 130.77 ," 3,462.68 "," 1,118.61 "," 1,396.35 ", 900.12 , 263.38 ," 3,678.45 "," 1,126.13 "," 1,412.85 "," 1,007.64 ", 231.67 ," 3,778.29 "," 1,344.22 "," 1,650.42 ", 997.07 , 267.69 ," 4,259.40 "," 1,263.58 "," 1,558.69 ", 954.87 , 305.60 ," 4,082.73 "," 1,149.87 "," 1,459.64 ", 820.71 , 276.37 ," 3,706.59 "," 1,329.17 "," 1,675.91 "," 1,140.81 ", 328.37 ," 4,474.26 "," 1,302.89 "," 1,644.41 "," 1,103.17 ", 363.96 ," 4,414.43 "," 1,353.23 "," 1,656.69 "," 1,169.80 ", 291.92 ," 4,471.64 "
