REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2023-2024,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State CD,State,Financial Year 2023-24,,,,,Apr-23,,,,,May-23,,,,,Jun-23,,,,,Jul-23,,,,,Aug-23,,,,,Sep-23,,,,,Oct-23,,,,,Nov-23,,,,,Dec-23,,,,,Jan-24,,,,,Feb-24,,,,,Mar-24,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL
1,Jammu and Kashmir," 2,079 "," 2,945 "," 1,594 ", 86 ," 6,704 ", 285 , 394 , 116 , 8 , 803 , 114 , 178 , 120 , 10 , 422 , 194 , 257 , 125 , 12 , 589 , 163 , 234 , 141 , 11 , 549 , 147 , 220 , 146 , 10 , 523 , 162 , 231 , 161 , 9 , 563 , 168 , 247 , 171 , 7 , 593 , 133 , 198 , 135 , 3 , 469 , 157 , 228 , 105 , 2 , 492 , 175 , 261 , 128 , 3 , 567 , 181 , 231 , 116 , 4 , 532 , 201 , 265 , 130 , 6 , 601 
2,Himachal Pradesh," 1,874 "," 2,597 "," 5,464 ", 21 ," 9,956 ", 214 , 301 , 440 , 2 , 957 , 139 , 189 , 499 , 2 , 828 , 165 , 226 , 447 , 3 , 841 , 163 , 233 , 519 , 3 , 917 , 132 , 182 , 410 , 1 , 725 , 136 , 184 , 462 , 2 , 784 , 176 , 232 , 476 , 1 , 885 , 129 , 185 , 487 , 1 , 802 , 141 , 199 , 403 , 2 , 745 , 168 , 238 , 466 , 2 , 875 , 146 , 204 , 396 , 1 , 746 , 166 , 225 , 460 , 1 , 852 
3,Punjab," 5,795 "," 8,406 "," 9,483 ", 378 ," 24,061 ", 595 , 860 , 816 , 45 ," 2,316 ", 406 , 638 , 663 , 37 ," 1,744 ", 505 , 726 , 694 , 40 ," 1,966 ", 489 , 727 , 740 , 44 ," 2,000 ", 420 , 603 , 759 , 31 ," 1,813 ", 445 , 661 , 726 , 34 ," 1,866 ", 471 , 687 , 791 , 32 ," 1,981 ", 502 , 708 ," 1,033 ", 22 ," 2,265 ", 451 , 669 , 738 , 17 ," 1,875 ", 539 , 777 , 848 , 25 ," 2,189 ", 468 , 631 , 834 , 21 ," 1,955 ", 504 , 717 , 841 , 29 ," 2,090 "
4,Chandigarh, 526 , 689 ," 1,537 ", 20 ," 2,771 ", 47 , 63 , 143 , 2 , 255 , 37 , 48 , 172 , 2 , 259 , 51 , 64 , 112 , 1 , 227 , 41 , 57 , 118 , 1 , 217 , 38 , 51 , 102 , 1 , 192 , 41 , 52 , 125 , 1 , 219 , 42 , 54 , 112 , 2 , 210 , 40 , 50 , 120 , 0 , 210 , 42 , 57 , 182 , 0 , 281 , 52 , 72 , 122 , 5 , 252 , 43 , 59 , 107 , 2 , 211 , 52 , 63 , 122 , 2 , 238 
5,Uttarakhand," 3,861 "," 5,415 "," 9,824 ", 131 ," 19,231 ", 387 , 554 ," 1,192 ", 15 ," 2,148 ", 307 , 411 , 703 , 9 ," 1,431 ", 327 , 439 , 745 , 12 ," 1,523 ", 318 , 415 , 863 , 10 ," 1,607 ", 309 , 382 , 653 , 9 ," 1,353 ", 268 , 387 , 726 , 11 ," 1,392 ", 379 , 550 , 895 , 10 ," 1,834 ", 313 , 486 , 792 , 10 ," 1,601 ", 294 , 421 , 744 , 10 ," 1,470 ", 304 , 448 , 850 , 15 ," 1,616 ", 299 , 440 , 776 , 11 ," 1,525 ", 354 , 481 , 885 , 9 ," 1,730 "
6,Haryana," 15,813 "," 20,334 "," 59,726 "," 7,041 "," 1,02,914 "," 1,424 "," 1,871 "," 6,228 ", 511 ," 10,035 "," 1,228 "," 1,544 "," 4,053 ", 426 ," 7,250 "," 1,329 "," 1,695 "," 4,428 ", 536 ," 7,988 "," 1,223 "," 1,610 "," 4,571 ", 549 ," 7,953 "," 1,210 "," 1,585 "," 4,199 ", 672 ," 7,666 "," 1,188 "," 1,559 "," 4,645 ", 617 ," 8,009 "," 1,338 "," 1,773 "," 4,907 ", 697 ," 8,716 "," 1,415 "," 1,779 "," 5,869 ", 670 ," 9,732 "," 1,248 "," 1,577 "," 4,729 ", 576 ," 8,130 "," 1,466 "," 1,855 "," 5,720 ", 581 ," 9,622 "," 1,315 "," 1,720 "," 4,643 ", 591 ," 8,269 "," 1,428 "," 1,767 "," 5,734 ", 617 ," 9,545 "
7,Delhi," 13,254 "," 15,647 "," 36,232 "," 1,312 "," 66,445 "," 1,358 "," 1,638 "," 3,241 ", 83 ," 6,320 "," 1,117 "," 1,295 "," 2,623 ", 112 ," 5,147 ", 990 ," 1,162 "," 2,490 ", 103 ," 4,744 "," 1,030 "," 1,221 "," 3,053 ", 101 ," 5,405 ", 939 ," 1,113 "," 2,471 ", 95 ," 4,620 "," 1,041 "," 1,209 "," 2,490 ", 109 ," 4,849 "," 1,210 "," 1,425 "," 5,007 ", 112 ," 7,754 "," 1,082 "," 1,276 "," 2,880 ", 109 ," 5,347 "," 1,012 "," 1,205 "," 2,793 ", 111 ," 5,121 "," 1,152 "," 1,390 "," 3,101 ", 131 ," 5,774 "," 1,098 "," 1,300 "," 3,025 ", 121 ," 5,544 "," 1,225 "," 1,413 "," 3,058 ", 125 ," 5,820 "
