company,Date,Close,year,quarter
HUL,2017-07-03,960.6470947265624,2017,3
HUL,2017-07-04,952.2020874023438,2017,3
HUL,2017-07-05,959.7281494140624,2017,3
HUL,2017-07-06,956.0527954101562,2017,3
HUL,2017-07-07,960.6030883789062,2017,3
HUL,2017-07-10,959.3344116210938,2017,3
HUL,2017-07-11,968.2606201171876,2017,3
HUL,2017-07-12,990.313232421875,2017,3
HUL,2017-07-13,992.9821166992188,2017,3
HUL,2017-07-14,997.0077514648438,2017,3
HUL,2017-07-17,1008.9527587890624,2017,3
HUL,2017-07-18,1013.2406616210938,2017,3
HUL,2017-07-19,1010.1777954101562,2017,3
HUL,2017-07-20,1008.9091796875,2017,3
HUL,2017-07-21,1013.94091796875,2017,3
HUL,2017-07-24,1014.5535278320312,2017,3
HUL,2017-07-25,1006.0213623046876,2017,3
HUL,2017-07-26,1019.10400390625,2017,3
HUL,2017-07-27,1025.5360107421875,2017,3
HUL,2017-07-28,1009.740234375,2017,3
HUL,2017-07-31,1011.4028930664062,2017,3
HUL,2017-08-01,1027.3299560546875,2017,3
HUL,2017-08-02,1022.7797241210938,2017,3
HUL,2017-08-03,1023.7858276367188,2017,3
HUL,2017-08-04,1043.2132568359375,2017,3
HUL,2017-08-07,1038.1373291015625,2017,3
HUL,2017-08-08,1042.2508544921875,2017,3
HUL,2017-08-09,1037.30615234375,2017,3
HUL,2017-08-10,1024.48583984375,2017,3
HUL,2017-08-11,1008.8215942382812,2017,3
HUL,2017-08-14,1011.359375,2017,3
HUL,2017-08-16,1038.18115234375,2017,3
HUL,2017-08-17,1030.2618408203125,2017,3
HUL,2017-08-18,1052.0517578125,2017,3
HUL,2017-08-21,1042.6444091796875,2017,3
HUL,2017-08-22,1049.776123046875,2017,3
HUL,2017-08-23,1039.756591796875,2017,3
HUL,2017-08-24,1032.361572265625,2017,3
HUL,2017-08-28,1049.8638916015625,2017,3
HUL,2017-08-29,1041.76904296875,2017,3
HUL,2017-08-30,1053.8895263671875,2017,3
HUL,2017-08-31,1067.4097900390625,2017,3
HUL,2017-09-01,1064.259521484375,2017,3
HUL,2017-09-04,1047.6324462890625,2017,3
HUL,2017-09-05,1054.6768798828125,2017,3
HUL,2017-09-06,1055.727294921875,2017,3
HUL,2017-09-07,1057.783447265625,2017,3
HUL,2017-09-08,1056.7337646484375,2017,3
HUL,2017-09-11,1067.541259765625,2017,3
HUL,2017-09-12,1093.70654296875,2017,3
HUL,2017-09-13,1094.7130126953125,2017,3
HUL,2017-09-14,1092.0003662109375,2017,3
