Price,Close,High,Low,Open,Volume
Ticker,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS
Date,,,,,
2017-07-03,285.0693359375,285.9933035609146,275.2575441929997,276.3135302096222,643521
2017-07-04,284.5853576660156,290.34923935681917,282.03342255211317,286.9172979105326,744889
2017-07-05,286.5212707519531,287.75323642377856,281.769387815005,284.2333191586559,354179
2017-07-06,285.0693359375,286.6532881075937,283.4413686847237,286.52129656922585,767628
2017-07-07,281.7694396972656,285.33334584249,280.5374469437556,285.11335097291214,876158
2017-07-10,284.23333740234375,284.9813252401599,281.1973978243768,283.22136649463454,68562
2017-07-11,283.30938720703125,285.99331371689965,281.5494283533888,285.1133342900784,956672
2017-07-12,284.9373474121094,285.99333353942285,282.4734155881684,282.4734155881684,267775
2017-07-13,288.67724609375,294.353124254038,284.3213639553619,285.55332980698154,1099204
2017-07-14,287.7972412109375,293.29711225421977,286.65327877587043,288.8092389667727,828849
2017-07-17,288.105224609375,290.3051729140508,285.20130358913804,287.88522977890744,431513
2017-07-18,289.60125732421875,290.92122656739673,285.2453480797942,287.9293016538286,790944
2017-07-19,291.1852722167969,293.64923144619377,289.9533060295228,291.27327555621264,502939
2017-07-20,286.6092834472656,292.10915435426074,283.35334912838914,292.10915435426074,447725
2017-07-21,290.085205078125,291.0971760214796,285.2893334405436,287.31327532725277,1033196
2017-07-24,290.3932189941406,291.7131881713867,286.47729969304055,288.8532549540202,792802
2017-07-25,291.05322265625,292.90118499646474,287.7532994968821,290.39323802437644,849301
2017-07-26,287.4893493652344,291.71324075182906,285.3773768170905,291.31723918534044,833790
2017-07-27,287.1372985839844,290.0412470314766,285.1133564866644,287.5333000988197,1997793
2017-07-28,292.5051574707031,293.0331505002303,285.55332533731155,286.16932168090005,881810
2017-07-31,294.5291442871094,295.5851035559014,288.28128457442966,293.957136138149,838780
2017-08-01,287.1812744140625,294.6170840202156,278.68947881593016,294.52910756658343,5253719
2017-08-02,286.96136474609375,287.70935280786006,278.51355486730097,278.9535446854168,2181797
2017-08-03,288.4573059082031,289.77727532545515,281.2414892068,285.1133941264366,3186048
2017-08-04,285.8613586425781,290.30524457301726,283.79340135476065,290.30524457301726,2128283
2017-08-07,294.13311767578125,295.23309193784473,285.9933081365113,289.5132257751145,3052279
2017-08-08,293.869140625,297.3010550220928,288.89723537457746,293.0331494267411,2835258
2017-08-09,286.6092834472656,293.0331219247006,285.377290880228,293.0331219247006,2275048
2017-08-10,282.077392578125,285.8613202002363,278.95347637641373,285.11333232163423,1679678
2017-08-11,281.5494384765625,285.1573327723795,277.5015275966731,282.0774046677657,1062783
2017-08-14,280.1414794921875,287.18131549963135,279.5254830995989,281.54945206464487,1144214
2017-08-16,278.0295104980469,281.85739951880805,274.90556742159055,280.141455750325,1454928
2017-08-17,281.46142578125,284.98134349780815,276.00554257864843,276.00554257864843,1557457
2017-08-18,281.5054016113281,283.7933533972819,278.5134770550069,278.5134770550069,928269
2017-08-21,279.70147705078125,281.76943415510675,277.8095265805931,281.4614359727873,947075
2017-08-22,277.2814636230469,283.7053013268132,276.9734655183819,279.305405131128,1800960
2017-08-23,277.14959716796875,279.78953607661487,276.4896124408072,279.61352940743285,1265870
2017-08-24,278.1614990234375,279.48146814864697,277.19351629398244,278.5134854191919,695941
2017-08-28,280.053466796875,281.593430871956,277.7655148000719,277.7655148000719,1213344
2017-08-29,275.12554931640625,279.78945616925273,272.88161262686026,279.21744808519935,982750
2017-08-30,276.97357177734375,277.8975395909773,272.52968565677014,275.34560418941487,1029028
2017-08-31,277.5894775390625,279.3934243401112,273.84956555970666,276.7534864723306,2496373
2017-09-01,276.6215515136719,277.9855089489934,274.68558593949723,277.9855089489934,1355843
2017-09-04,276.8855285644531,277.6775046984646,273.7175971735658,275.43356784295855,1120905
