Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2017-08-31,197.6130828857422,198.2431926251144,196.31782649188455,198.13817063700128,11654017
2017-09-01,198.55824279785156,199.08335269665454,196.52785483798803,197.57805244628918,7526993
2017-09-04,198.2082061767578,198.73329394414543,197.4380596998101,198.45324269701058,8807199
2017-09-05,198.0331573486328,198.76831129772063,197.1579888687809,197.89314281786872,8121365
2017-09-06,193.02719116210938,196.73790879744877,192.71212520681317,196.38782811735098,14710804
2017-09-07,189.31646728515625,194.32244111213308,188.72135011898595,193.93734571993002,19958290
2017-09-08,190.68173217773438,191.34685660650024,189.03641737311185,189.84157850813097,10090288
2017-09-11,191.556884765625,192.1169871658125,190.08659932315513,190.71673116534373,9672742
2017-09-12,194.39247131347656,194.81253710029497,192.2570610836812,192.88717085856274,11906324
2017-09-13,190.0866241455078,194.28743707408194,189.7015509214314,194.21742981224253,12593161
2017-09-14,190.43667602539062,190.78675670103354,189.316471117667,190.64671999291525,7312288
2017-09-15,188.54629516601562,190.96175603562588,187.77614886525012,190.4366461990575,13653947
2017-09-18,186.93600463867188,190.22665652037097,186.41091690289127,189.73656132005885,10543289
2017-09-19,187.5311279296875,189.03642830440825,184.90563369203812,187.63614991812415,35187337
2017-09-20,190.1216278076172,190.43667156221488,187.4611079301684,188.61632753517367,9974675
2017-09-21,188.72132873535156,190.71672397104072,187.00600687849465,190.43665059220848,8058682
2017-09-22,187.95123291015625,189.70156995692315,186.9710423888221,188.68636470650253,7142399
2017-09-25,183.6103515625,188.79134314385058,182.66517598833656,187.98620426441306,18260404
2017-09-26,183.7504119873047,184.66059520226398,182.77022150636628,184.3455292213964,9950366
2017-09-27,180.98486328125,185.8858041142189,179.79462892892678,185.6057528882556,18208892
2017-09-28,183.1202850341797,184.41554145293753,181.404951749547,182.31513493425615,22436773
2017-09-29,180.84483337402344,184.06545568008457,180.24971621199316,183.99543732792998,12640792
2017-10-03,183.01524353027344,183.9604302460294,180.98485558638555,183.78538991625487,11940746
2017-10-04,187.216064453125,187.98621082774753,184.24047874271585,184.90561423460525,11194466
2017-10-05,185.7107696533203,188.61632600401435,185.11565249388107,187.21606991354403,7204474
2017-10-06,186.3408966064453,187.2860722161717,185.29068792439662,186.0958379287803,8158755
2017-10-09,187.63616943359375,188.44133069891484,186.51596435950268,187.63616943359375,6323114
2017-10-10,186.37591552734375,187.5661499832535,185.64077267422073,187.00604748258095,5683301
2017-10-11,185.8157958984375,187.46111071081748,185.15066037188294,186.5859423131981,7959877
2017-10-12,186.93600463867188,188.47631968915707,184.83560931693756,185.92082170257913,9518815
2017-10-13,186.20086669921875,187.35608630642872,184.97562873945697,186.4109106622215,12504487
2017-10-16,187.2860870361328,189.0014091583038,185.88580868259712,186.2358893656341,9504724
2017-10-17,187.11106872558594,188.12625173032478,186.20088552365848,187.6361564968727,11038203
2017-10-18,189.2814483642578,189.56149957930933,187.00602392097483,187.6361336075146,7508323
2017-10-19,188.79136657714844,189.946586242138,188.33628609408458,189.73656445793597,1283342
2017-10-23,186.97103881835938,190.96180809635112,186.09587031168846,189.03644181953675,10144269
2017-10-24,186.93600463867188,187.95120976407054,186.30589491787396,187.95120976407054,8723712
2017-10-25,188.51129150390625,190.08659891670584,187.776159878895,187.9161743839907,6169387
2017-10-26,187.9162139892578,189.59654372967765,187.0410454853966,189.59654372967765,9616793
2017-10-27,188.58132934570312,193.2372450867771,187.25108038500034,189.45649780707225,23852749
2017-10-30,185.6407470703125,189.45647534016973,184.45052387321428,188.33627049332537,18266520
2017-10-31,186.0258331298828,186.90101264266883,184.76559149534353,186.27088073074617,8452918
2017-11-01,188.93138122558594,189.87655680668823,186.44589074840468,186.93598589958805,7516426
2017-11-02,185.99082946777344,189.00140793806258,185.7457818669521,188.82637869232718,10056813
2017-11-03,185.8157958984375,187.56613269367622,185.46572632045923,186.93600079652367,6210456
2017-11-06,185.4657440185547,187.56615059220331,185.0456671416865,186.4109308598254,9368140
2017-11-07,185.7457733154297,187.42609171894972,184.59055371959388,186.02582453357428,9872847
2017-11-08,185.8157958984375,186.5859423131981,185.32570070819844,185.7807922690355,6186540
2017-11-09,182.070068359375,186.58593580214816,181.54496955805763,186.51592854578712,21026098
2017-11-10,183.22531127929688,185.6757874571074,181.6149999474005,182.42016116067555,17438746
