Price,Close,High,Low,Open,Volume
Ticker,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS
Date,,,,,
2017-07-03,1629.26171875,1648.1112695447423,1618.3743134070198,1639.0493861795478,148906
2017-07-04,1648.7490234375,1657.4808776477971,1632.0550241261267,1632.0550241261267,245562
2017-07-05,1642.3265380859375,1657.964832260031,1634.2104939893911,1653.565880728431,226042
2017-07-06,1641.4249267578125,1649.6070205381982,1637.047990942576,1645.2080684834295,246406
2017-07-07,1624.2470703125,1637.2679036795607,1617.4506036155815,1636.4541620045316,239420
2017-07-10,1634.6285400390625,1649.0791402563884,1626.7324427117555,1649.0791402563884,34224
2017-07-11,1626.314453125,1643.0743945961865,1621.9155014428595,1623.4771507692756,164310
2017-07-12,1628.5579833984375,1638.4776417088206,1624.0930900449393,1626.2925660607098,360402
2017-07-13,1639.753173828125,1655.7212815613268,1629.3716055212615,1638.1695083588493,127802
2017-07-14,1636.0579833984375,1642.876358069228,1629.8774352014661,1642.876358069228,77932
2017-07-17,1626.6004638671875,1642.1287859475567,1616.7907794019584,1636.3881320931005,108708
2017-07-18,1646.505615234375,1653.1260590629922,1608.278767683954,1627.612139045522,131062
2017-07-19,1674.328857421875,1688.7574394675628,1651.6742577520183,1651.6742577520183,525198
2017-07-20,1667.6865234375,1686.9978773012915,1656.2052172201727,1673.801022980812,415898
2017-07-21,1686.579833984375,1691.396663862546,1667.2903908411167,1679.9593912330463,240816
2017-07-24,1684.5565185546875,1701.5144986489688,1678.2659962143455,1687.0419906753325,203984
2017-07-25,1693.81640625,1695.0481342446446,1680.8615145584838,1693.5964586579664,195416
2017-07-26,1693.860595703125,1698.875358307711,1689.329653408079,1698.875358307711,156286
2017-07-27,1704.98974609375,1723.6852919114235,1689.6374467219873,1694.476293874797,280736
2017-07-28,1728.3265380859375,1737.9268412556023,1696.7166293809853,1713.8820155161613,238964
2017-07-31,1734.9407958984375,1750.425018242459,1716.0942420702547,1734.0559831930648,255936
2017-08-01,1728.7027587890625,1751.0442787682941,1718.9919613108525,1734.14437832647,228940
2017-08-02,1709.502197265625,1738.2143224319113,1699.1276833037994,1729.8086028782827,321538
2017-08-03,1713.8599853515625,1720.9606285700277,1696.2080159383536,1704.3261073112117,149358
2017-08-04,1733.08251953125,1741.9749299966907,1694.4162493682095,1694.4162493682095,193840
2017-08-07,1817.3165283203125,1863.349033841371,1725.4067267163189,1733.7018449124691,1782682
2017-08-08,1801.6334228515625,1832.070891300554,1760.7771559414894,1820.9444155415001,750352
2017-08-09,1795.68310546875,1802.761607126529,1766.4842861304107,1800.1514528439686,348022
2017-08-10,1822.360107421875,1873.1262300698168,1782.012566674593,1782.012566674593,653174
2017-08-11,1814.728759765625,1839.083142200606,1792.1880704966695,1805.34965901735,297426
2017-08-14,1840.4102783203125,1860.871570477119,1814.5295087814332,1824.1961300095259,198656
2017-08-16,1902.324951171875,1907.63382647907,1845.2986094321382,1847.046200628232,589396
2017-08-17,1880.4478759765625,1919.9769199375066,1873.5905786991511,1919.600831399201,341412
2017-08-18,1880.8682861328125,1895.246490390436,1862.9948994099193,1862.9948994099193,160612
2017-08-21,1871.2901611328125,1892.3487451145863,1863.4374489729373,1874.1217343885246,192688
2017-08-22,1857.59765625,1884.186316942832,1849.5457755280224,1878.0146629151745,212366
2017-08-23,1878.9659423828125,1888.057521790679,1838.640649870553,1869.4764565128726,237424
2017-08-24,1864.3443603515625,1891.0213728083775,1855.1644299795216,1873.5906084623132,246838
2017-08-28,1852.9305419921875,1884.1424414942212,1847.4669960523768,1880.2271018548463,300058
2017-08-29,1845.984619140625,1866.6228303747534,1832.535510470599,1849.700788954635,330262
2017-08-30,1876.39990234375,1885.7567518795433,1849.2582341012296,1849.2582341012296,202468
2017-08-31,1871.7989501953125,1889.959641712058,1863.5258662925132,1888.0573811018944,269094
2017-09-01,1877.5504150390625,1884.7835856595998,1858.7701800788345,1866.9546971159543,192344
2017-09-04,1866.799560546875,1884.2082903496396,1836.4284135340113,1878.0146026142804,229534
2017-09-05,1884.9166259765625,1889.893697646326,1866.9548841246024,1876.6878242788064,274206
2017-09-06,1879.2757568359375,1883.3237315188278,1862.088227851244,1871.378760705812,231278
2017-09-07,1885.1375732421875,1900.1351039673152,1877.572382127424,1880.6692263015266,229848
2017-09-08,1897.14892578125,1924.4675163874394,1888.7874894310335,1893.9414799206043,278692
2017-09-11,1901.1527099609375,1915.6194839260208,1897.92323003294,1897.92323003294,142188
2017-09-12,1909.95654296875,1919.379710643721,1903.6300033397354,1915.6192571366398,226842
2017-09-13,1915.597412109375,1928.8916361759898,1893.499129090192,1913.4074143259534,185576
2017-09-14,1920.3310546875,1924.025190865198,1908.2977317368727,1924.025190865198,189126
