REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2020-2021,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State,Financial Year 2020-21,,,,,Apr-20,,,,,May-20,,,,,Jun-20,,,,,Jul-20,,,,,Aug-20,,,,,Sep-20,,,,,Oct-20,,,,,Nov-20,,,,,Dec-20,,,,,Jan-21,,,,,Feb-21,,,,,Mar-21,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL
01,Jammu and Kashmir, 951 ," 1,553 "," 1,085 ", 59 ," 3,647 ", 32 , 37 , 22 , 0 , 91 , 40 , 63 , 25 , 2 , 129 , 81 , 136 , 82 , 25 , 325 , 75 , 130 , 86 , 6 , 298 , 70 , 122 , 130 , 4 , 326 , 83 , 144 , 135 , 6 , 368 , 98 , 164 , 111 , 4 , 377 , 91 , 147 , 118 , 3 , 360 , 79 , 132 , 105 , 2 , 318 , 105 , 173 , 94 , 2 , 374 , 97 , 141 , 90 , 2 , 330 , 99 , 163 , 86 , 3 , 352 
02,Himachal Pradesh," 1,178 "," 1,664 "," 4,202 ", 10 ," 7,055 ", 26 , 32 , 69 , 0 , 127 , 53 , 72 , 146 , 0 , 272 , 107 , 153 , 358 , 1 , 619 , 102 , 147 , 354 , 2 , 605 , 100 , 141 , 355 , 1 , 597 , 105 , 152 , 396 , 1 , 653 , 114 , 163 , 414 , 1 , 691 , 113 , 162 , 483 , 1 , 758 , 114 , 166 , 389 , 1 , 670 , 118 , 174 , 420 , 2 , 713 , 109 , 147 , 407 , 1 , 663 , 118 , 157 , 412 , 1 , 687 
03,Punjab," 3,490 "," 5,522 "," 4,728 ", 174 ," 13,913 ", 85 , 102 , 86 , 0 , 274 , 171 , 241 , 236 , 9 , 657 , 359 , 508 , 429 , 27 ," 1,323 ", 309 , 490 , 365 , 25 ," 1,188 ", 277 , 457 , 386 , 18 ," 1,139 ", 288 , 484 , 409 , 14 ," 1,194 ", 331 , 538 , 493 , 14 ," 1,376 ", 323 , 549 , 512 , 13 ," 1,396 ", 342 , 532 , 470 , 10 ," 1,353 ", 325 , 567 , 444 , 16 ," 1,352 ", 330 , 511 , 448 , 11 ," 1,299 ", 350 , 544 , 451 , 17 ," 1,362 "
04,Chandigarh, 302 , 410 , 927 , 11 ," 1,651 ", 8 , 9 , 23 , 0 , 40 , 16 , 22 , 64 , 2 , 103 , 27 , 35 , 95 , 2 , 159 , 26 , 37 , 74 , 1 , 137 , 26 , 37 , 75 , 1 , 139 , 26 , 33 , 82 , 1 , 141 , 26 , 34 , 91 , 1 , 152 , 27 , 35 , 78 , 1 , 141 , 29 , 41 , 88 , 1 , 158 , 29 , 48 , 86 , 3 , 165 , 29 , 38 , 81 , 0 , 149 , 32 , 41 , 92 , 0 , 165 
05,Uttarakhand," 2,263 "," 3,232 "," 6,753 ", 90 ," 12,339 ", 50 , 62 , 142 , 3 , 257 , 145 , 170 , 299 , 1 , 615 , 184 , 239 , 470 , 2 , 895 , 191 , 247 , 543 , 7 , 988 , 185 , 249 , 564 , 8 ," 1,006 ", 206 , 277 , 572 , 10 ," 1,065 ", 229 , 336 , 696 , 11 ," 1,272 ", 204 , 324 , 748 , 9 ," 1,286 ", 209 , 338 , 690 , 9 ," 1,246 ", 219 , 328 , 670 , 10 ," 1,226 ", 213 , 308 , 647 , 13 ," 1,181 ", 230 , 354 , 711 , 8 ," 1,304 "
06,Haryana," 8,795 "," 11,960 "," 30,319 "," 3,816 "," 54,890 ", 212 , 254 ," 1,089 ", 152 ," 1,707 ", 425 , 546 ," 1,556 ", 82 ," 2,609 ", 712 , 878 ," 1,998 ", 108 ," 3,697 ", 611 , 804 ," 1,854 ", 214 ," 3,483 ", 678 , 942 ," 2,379 ", 373 ," 4,373 ", 740 ," 1,048 "," 2,563 ", 361 ," 4,712 ", 866 ," 1,196 "," 2,974 ", 397 ," 5,433 ", 895 ," 1,264 "," 3,322 ", 448 ," 5,928 ", 939 ," 1,281 "," 3,102 ", 426 ," 5,747 ", 927 ," 1,287 "," 3,258 ", 430 ," 5,902 ", 860 ," 1,198 "," 3,119 ", 413 ," 5,590 ", 930 ," 1,261 "," 3,105 ", 414 ," 5,710 "
07,Delhi," 7,196 "," 8,899 "," 19,586 ", 888 ," 36,568 ", 216 , 241 , 526 , 7 , 990 , 415 , 494 ," 1,192 ", 57 ," 2,159 ", 652 , 762 ," 1,790 ", 45 ," 3,249 ", 522 , 653 ," 1,375 ", 79 ," 2,629 ", 565 , 697 ," 1,535 ", 82 ," 2,880 ", 615 , 761 ," 1,704 ", 66 ," 3,145 ", 638 , 813 ," 1,683 ", 77 ," 3,211 ", 654 , 833 ," 1,839 ", 88 ," 3,413 ", 701 , 876 ," 1,785 ", 89 ," 3,451 ", 713 , 923 ," 2,040 ", 111 ," 3,787 ", 720 , 893 ," 2,027 ", 87 ," 3,727 ", 783 , 952 ," 2,090 ", 100 ," 3,926 "
