REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2019-2020,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State,TOTAL,,,,,Apr-19,,,,,May-19,,,,,Jun-19,,,,,Jul-19,,,,,Aug-19,,,,,Sep-19,,,,,Oct-19,,,,,Nov-19,,,,,Dec-19,,,,,Jan-20,,,,,Feb-20,,,,,Mar-20,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL
01,Jammu and Kashmir," 1,060 "," 1,804 "," 1,104 ", 42 ," 4,010 ", 116 , 199 , 64 , 3 , 382 , 80 , 147 , 78 , 6 , 311 , 85 , 149 , 83 , 5 , 322 , 91 , 164 , 102 , 6 , 363 , 66 , 111 , 120 , 5 , 302 , 62 , 99 , 117 , 3 , 282 , 77 , 123 , 110 , 3 , 313 , 106 , 166 , 89 , 3 , 363 , 109 , 199 , 100 , 2 , 409 , 104 , 177 , 88 , 2 , 371 , 94 , 144 , 76 , 2 , 316 , 70 , 126 , 77 , 3 , 276 
02,Himachal Pradesh," 1,207 "," 1,814 "," 4,919 ", 19 ," 7,960 ", 111 , 169 , 419 , 1 , 700 , 85 , 130 , 423 , 1 , 640 , 97 , 153 , 446 , 1 , 697 , 103 , 155 , 414 , 5 , 677 , 97 , 146 , 432 , 1 , 676 , 89 , 135 , 384 , 1 , 609 , 97 , 143 , 428 , 1 , 669 , 110 , 173 , 417 , 2 , 701 , 110 , 168 , 421 , 1 , 699 , 114 , 166 , 392 , 2 , 675 , 102 , 140 , 377 , 1 , 621 , 91 , 136 , 368 , 1 , 596 
03,Punjab," 3,674 "," 6,133 "," 5,217 ", 211 ," 15,235 ", 365 , 554 , 439 , 16 ," 1,374 ", 308 , 500 , 516 , 24 ," 1,348 ", 262 , 482 , 480 , 24 ," 1,248 ", 294 , 499 , 456 , 23 ," 1,271 ", 295 , 495 , 451 , 15 ," 1,255 ", 275 , 473 , 371 , 14 ," 1,133 ", 282 , 480 , 412 , 15 ," 1,189 ", 330 , 581 , 449 , 15 ," 1,375 ", 310 , 512 , 455 , 13 ," 1,290 ", 343 , 569 , 410 , 18 ," 1,340 ", 309 , 504 , 403 , 13 ," 1,229 ", 301 , 484 , 375 , 20 ," 1,181 "
04,Chandigarh, 387 , 556 ," 1,032 ", 13 ," 1,988 ", 35 , 48 , 117 , 0 , 200 , 29 , 42 , 76 , 1 , 147 , 30 , 43 , 84 , 0 , 158 , 31 , 49 , 75 , 1 , 156 , 33 , 44 , 82 , 0 , 160 , 29 , 41 , 86 , 0 , 157 , 28 , 40 , 88 , 0 , 157 , 33 , 51 , 80 , 1 , 165 , 34 , 47 , 87 , 1 , 168 , 40 , 59 , 92 , 4 , 195 , 36 , 49 , 85 , 1 , 172 , 30 , 41 , 79 , 2 , 153 
05,Uttarakhand," 2,519 "," 3,924 "," 8,090 ", 190 ," 14,722 ", 219 , 370 ," 1,005 ", 24 ," 1,617 ", 192 , 345 , 695 , 15 ," 1,248 ", 191 , 350 , 669 , 21 ," 1,232 ", 194 , 340 , 736 , 19 ," 1,289 ", 188 , 316 , 423 , 14 , 941 , 186 , 286 , 534 , 10 ," 1,017 ", 204 , 316 , 621 , 12 ," 1,153 ", 229 , 356 , 680 , 15 ," 1,280 ", 230 , 330 , 639 , 14 ," 1,213 ", 234 , 326 , 678 , 18 ," 1,257 ", 230 , 310 , 723 , 18 ," 1,281 ", 221 , 277 , 686 , 10 ," 1,195 "
06,Haryana," 9,560 "," 13,922 "," 32,407 "," 3,671 "," 59,560 ", 743 ," 1,122 "," 3,169 ", 338 ," 5,372 ", 781 ," 1,125 "," 2,418 ", 299 ," 4,624 ", 855 ," 1,182 "," 2,526 ", 326 ," 4,889 ", 720 ," 1,070 "," 2,535 ", 291 ," 4,617 ", 785 ," 1,138 "," 2,270 ", 281 ," 4,474 ", 720 ," 1,053 "," 2,054 ", 282 ," 4,110 ", 752 ," 1,088 "," 2,437 ", 300 ," 4,578 ", 877 ," 1,262 "," 3,442 ", 323 ," 5,904 ", 814 ," 1,206 "," 3,046 ", 299 ," 5,365 ", 892 ," 1,330 "," 2,963 ", 302 ," 5,487 ", 883 ," 1,269 "," 2,868 ", 246 ," 5,266 ", 736 ," 1,074 "," 2,678 ", 385 ," 4,874 "
07,Delhi," 9,249 "," 11,988 "," 21,831 "," 1,093 "," 44,161 ", 912 ," 1,146 "," 2,204 ", 78 ," 4,341 ", 765 , 967 ," 1,841 ", 91 ," 3,664 ", 729 , 938 ," 1,838 ", 90 ," 3,595 ", 717 , 948 ," 1,652 ", 89 ," 3,406 ", 732 , 943 ," 1,737 ", 105 ," 3,517 ", 707 , 924 ," 1,668 ", 87 ," 3,386 ", 718 , 960 ," 1,721 ", 86 ," 3,484 ", 873 ," 1,145 "," 1,889 ", 89 ," 3,995 ", 800 ," 1,030 "," 1,780 ", 87 ," 3,698 ", 833 ," 1,111 "," 1,920 ", 104 ," 3,967 ", 782 , 993 ," 1,965 ", 94 ," 3,835 ", 681 , 882 ," 1,617 ", 93 ," 3,273 "
