REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2018-2019,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2018-19 ,,,,, Apr-18 ,,,,,May-18,,,,,Jun-18,,,,,Jul-18,,,,,Aug-18,,,,,Sep-18,,,,,Oct-18,,,,,Nov-18,,,,,Dec-18,,,,,Jan-19,,,,,Feb-19,,,,,Mar-19,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
1,Jammu and Kashmir," 1,044 "," 1,686 "," 1,021 ", 42 ," 3,792 ", 115 , 180 , 74 , 3 , 372 , 71 , 119 , 73 , 4 , 267 , 71 , 119 , 72 , 4 , 266 , 80 , 135 , 96 , 7 , 318 , 73 , 129 , 99 , 4 , 305 , 79 , 130 , 124 , 5 , 337 , 85 , 133 , 103 , 3 , 324 , 76 , 127 , 82 , 2 , 286 , 78 , 135 , 79 , 1 , 293 , 94 , 160 , 75 , 1 , 331 , 97 , 139 , 67 , 2 , 306 , 125 , 180 , 77 , 5 , 388 
2,Himachal Pradesh," 1,030 "," 1,591 "," 4,957 ", 15 ," 7,593 ", 89 , 136 , 421 , 1 , 647 , 74 , 117 , 454 , 1 , 646 , 81 , 128 , 430 , 1 , 641 , 85 , 131 , 400 , 1 , 618 , 77 , 121 , 362 , 1 , 562 , 79 , 119 , 450 , 1 , 649 , 79 , 125 , 446 , 2 , 651 , 98 , 141 , 428 , 1 , 667 , 90 , 140 , 365 , 1 , 595 , 88 , 145 , 410 , 3 , 647 , 89 , 131 , 389 , 1 , 610 , 100 , 157 , 403 , 1 , 660 
3,Punjab," 3,223 "," 5,404 "," 5,196 ", 154 ," 13,977 ", 310 , 499 , 432 , 17 ," 1,258 ", 238 , 397 , 488 , 16 ," 1,139 ", 251 , 442 , 490 , 18 ," 1,200 ", 266 , 453 , 436 , 16 ," 1,171 ", 248 , 410 , 427 , 12 ," 1,097 ", 251 , 406 , 446 , 14 ," 1,117 ", 269 , 431 , 417 , 12 ," 1,129 ", 271 , 469 , 473 , 7 ," 1,220 ", 273 , 460 , 423 , 7 ," 1,162 ", 297 , 529 , 375 , 15 ," 1,216 ", 268 , 453 , 370 , 9 ," 1,100 ", 282 , 454 , 420 , 10 ," 1,166 "
4,Chandigarh, 348 , 497 , 929 , 4 ," 1,778 ", 34 , 46 , 101 , 0 , 182 , 27 , 36 , 69 , 0 , 132 , 26 , 40 , 71 , 0 , 136 , 30 , 41 , 77 , 0 , 148 , 29 , 40 , 71 , 0 , 140 , 27 , 41 , 75 , 0 , 143 , 26 , 35 , 80 , 0 , 141 , 30 , 41 , 74 , 0 , 146 , 29 , 41 , 73 , 0 , 143 , 31 , 50 , 76 , 1 , 159 , 28 , 41 , 77 , 0 , 147 , 33 , 45 , 84 , 0 , 162 
5,Uttarakhand," 2,101 "," 3,850 "," 8,959 ", 240 ," 15,150 ", 211 , 356 , 925 , 23 ," 1,515 ", 160 , 304 , 762 , 21 ," 1,247 ", 164 , 310 , 771 , 21 ," 1,266 ", 179 , 322 , 890 , 17 ," 1,408 ", 159 , 297 , 549 , 15 ," 1,020 ", 158 , 290 , 780 , 20 ," 1,247 ", 179 , 341 , 869 , 21 ," 1,411 ", 168 , 340 , 617 , 23 ," 1,148 ", 154 , 293 , 591 , 17 ," 1,055 ", 176 , 303 , 653 , 14 ," 1,146 ", 188 , 334 , 692 , 24 ," 1,237 ", 203 , 360 , 862 , 25 ," 1,451 "
6,Haryana," 8,520 "," 12,690 "," 30,133 "," 3,889 "," 55,233 ", 713 ," 1,100 "," 2,982 ", 334 ," 5,130 ", 691 ," 1,015 "," 2,516 ", 352 ," 4,574 ", 709 ," 1,091 "," 2,437 ", 398 ," 4,634 ", 680 ," 1,004 "," 2,312 ", 299 ," 4,295 ", 711 ," 1,088 "," 2,281 ", 293 ," 4,374 ", 689 ," 1,040 "," 2,156 ", 307 ," 4,192 ", 708 ," 1,054 "," 2,374 ", 326 ," 4,461 ", 779 ," 1,069 "," 2,522 ", 308 ," 4,678 ", 657 , 971 ," 2,691 ", 327 ," 4,646 ", 729 ," 1,065 "," 2,679 ", 341 ," 4,815 ", 694 ," 1,063 "," 2,820 ", 295 ," 4,873 ", 759 ," 1,130 "," 2,363 ", 309 ," 4,561 "
7,Delhi," 8,485 "," 10,839 "," 19,448 "," 1,072 "," 39,845 "," 1,105 "," 1,332 "," 1,683 ", 79 ," 4,198 ", 631 , 797 ," 1,402 ", 84 ," 2,915 ", 620 , 795 ," 1,602 ", 86 ," 3,103 ", 663 , 834 ," 1,514 ", 84 ," 3,095 ", 655 , 826 ," 1,441 ", 93 ," 3,015 ", 621 , 787 ," 1,643 ", 89 ," 3,140 ", 666 , 860 ," 1,671 ", 90 ," 3,287 ", 671 , 878 ," 1,632 ", 96 ," 3,277 ", 651 , 845 ," 1,561 ", 89 ," 3,146 ", 694 , 946 ," 1,783 ", 103 ," 3,525 ", 712 , 918 ," 1,704 ", 87 ," 3,422 ", 796 ," 1,021 "," 1,812 ", 93 ," 3,722 "
