REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2022-2023,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2022-23 ,,,,,Apr-22,,,,,May-22,,,,,Jun-22,,,,,Jul-22,,,,,Aug-22,,,,,Sep-22,,,,,Oct-22,,,,,Nov-22,,,,,Dec-22,,,,,Jan-23,,,,,Feb-23,,,,,Mar-23,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
08,Rajasthan," 11,984 "," 15,636 "," 16,337 "," 1,501 "," 45,458 "," 1,309 "," 1,670 "," 1,412 ", 155 ," 4,547 ", 953 ," 1,257 "," 1,439 ", 140 ," 3,789 ", 851 ," 1,162 "," 1,202 ", 171 ," 3,386 ", 934 ," 1,243 "," 1,351 ", 143 ," 3,671 ", 860 ," 1,123 "," 1,250 ", 108 ," 3,341 ", 861 ," 1,141 "," 1,190 ", 114 ," 3,307 ", 916 ," 1,235 "," 1,494 ", 116 ," 3,761 ", 996 ," 1,314 "," 1,183 ", 125 ," 3,618 "," 1,044 "," 1,337 "," 1,303 ", 105 ," 3,789 "," 1,136 "," 1,484 "," 1,418 ", 117 ," 4,154 "," 1,019 "," 1,260 "," 1,559 ", 102 ," 3,941 "," 1,104 "," 1,409 "," 1,537 ", 104 ," 4,154 "
09,Uttar Pradesh," 19,809 "," 27,366 "," 26,559 "," 14,236 "," 87,970 "," 2,039 "," 2,782 "," 2,543 "," 1,171 "," 8,534 "," 1,495 "," 2,189 "," 1,870 "," 1,116 "," 6,670 "," 1,601 "," 2,272 "," 1,785 "," 1,177 "," 6,835 "," 1,653 "," 2,258 "," 1,980 "," 1,183 "," 7,074 "," 1,588 "," 2,137 "," 2,009 "," 1,048 "," 6,781 "," 1,540 "," 2,074 "," 2,223 "," 1,168 "," 7,004 "," 1,531 "," 2,137 "," 2,945 "," 1,227 "," 7,839 "," 1,534 "," 2,076 "," 2,444 "," 1,200 "," 7,254 "," 1,588 "," 2,174 "," 2,036 "," 1,381 "," 7,178 "," 1,802 "," 2,522 "," 2,340 "," 1,091 "," 7,755 "," 1,646 "," 2,280 "," 2,033 "," 1,472 "," 7,431 "," 1,794 "," 2,466 "," 2,351 "," 1,003 "," 7,613 "
10,Bihar," 4,553 "," 7,543 "," 2,446 "," 2,005 "," 16,548 ", 457 , 767 , 179 , 67 ," 1,471 ", 314 , 546 , 150 , 168 ," 1,178 ", 315 , 542 , 188 , 188 ," 1,232 ", 337 , 585 , 167 , 176 ," 1,264 ", 372 , 574 , 181 , 144 ," 1,271 ", 341 , 554 , 383 , 188 ," 1,466 ", 328 , 542 , 303 , 171 ," 1,344 ", 378 , 605 , 164 , 170 ," 1,317 ", 359 , 593 , 170 , 188 ," 1,309 ", 428 , 703 , 162 , 161 ," 1,454 ", 445 , 668 , 191 , 195 ," 1,499 ", 480 , 865 , 209 , 190 ," 1,744 "
11,Sikkim, 224 , 301 ," 2,629 ", 1 ," 3,156 ", 32 , 48 , 184 , 0 , 264 , 17 , 23 , 238 , 0 , 279 , 15 , 20 , 221 , 0 , 256 , 16 , 22 , 211 , 0 , 249 , 14 , 19 , 214 , 0 , 247 , 15 , 21 , 250 , 0 , 285 , 22 , 26 , 217 , 0 , 265 , 18 , 23 , 169 , 0 , 209 , 16 , 20 , 255 , 0 , 290 , 19 , 25 , 240 , 0 , 284 , 22 , 27 , 216 , 0 , 265 , 20 , 28 , 215 , 0 , 262 
12,Arunachal Pradesh, 385 , 494 , 141 , 2 ," 1,023 ", 80 , 93 , 23 , 0 , 196 , 32 , 41 , 9 , 0 , 82 , 20 , 28 , 11 , 0 , 59 , 23 , 29 , 13 , 0 , 65 , 22 , 29 , 9 , 0 , 59 , 22 , 33 , 10 , 0 , 64 , 23 , 29 , 13 , 0 , 65 , 22 , 29 , 11 , 0 , 62 , 25 , 32 , 10 , 0 , 67 , 30 , 39 , 12 , 0 , 81 , 29 , 40 , 9 , 0 , 78 , 60 , 72 , 12 , 0 , 144 
13,Nagaland, 175 , 228 , 119 , 44 , 566 , 22 , 28 , 12 , 6 , 68 , 15 , 19 , 11 , 4 , 49 , 10 , 13 , 8 , 2 , 34 , 11 , 14 , 12 , 5 , 42 , 11 , 13 , 10 , 3 , 38 , 17 , 21 , 8 , 3 , 49 , 14 , 16 , 11 , 1 , 43 , 10 , 13 , 8 , 2 , 34 , 15 , 20 , 6 , 2 , 44 , 19 , 23 , 9 , 3 , 55 , 14 , 22 , 13 , 5 , 54 , 17 , 25 , 10 , 6 , 58 
14,Manipur, 226 , 321 , 66 , 3 , 615 , 26 , 36 , 7 , 1 , 69 , 17 , 26 , 4 , 0 , 47 , 15 , 21 , 3 , 0 , 39 , 17 , 24 , 4 , 0 , 45 , 12 , 18 , 5 , 0 , 35 , 14 , 19 , 5 , 0 , 38 , 19 , 23 , 7 , 0 , 50 , 17 , 25 , 9 , 0 , 50 , 16 , 25 , 4 , 0 , 46 , 25 , 37 , 4 , 1 , 67 , 24 , 35 , 5 , 0 , 64 , 25 , 33 , 7 , 1 , 65 
15,Mizoram, 151 , 230 , 38 , 1 , 419 , 17 , 24 , 4 , 0 , 46 , 9 , 14 , 2 , 0 , 25 , 9 , 14 , 3 , 0 , 26 , 10 , 14 , 3 , 0 , 27 , 11 , 14 , 3 , 0 , 28 , 9 , 12 , 3 , 0 , 24 , 9 , 12 , 4 , 0 , 24 , 8 , 12 , 3 , 0 , 24 , 8 , 13 , 2 , 0 , 23 , 14 , 26 , 3 , 0 , 44 , 21 , 33 , 4 , 0 , 58 , 26 , 40 , 4 , 0 , 70 
16,Tripura, 333 , 435 , 113 , 3 , 884 , 41 , 54 , 12 , 1 , 107 , 23 , 34 , 8 , 0 , 65 , 21 , 28 , 14 , 0 , 63 , 24 , 33 , 7 , 0 , 63 , 21 , 27 , 8 , 0 , 56 , 24 , 32 , 9 , 0 , 65 , 28 , 36 , 12 , 0 , 76 , 23 , 30 , 7 , 0 , 60 , 31 , 39 , 8 , 0 , 78 , 32 , 40 , 9 , 0 , 81 , 30 , 39 , 10 , 0 , 79 , 36 , 45 , 9 , 0 , 90 
17,Meghalaya, 397 , 489 ," 1,170 ", 19 ," 2,076 ", 49 , 58 , 118 , 2 , 227 , 30 , 38 , 104 , 3 , 174 , 25 , 31 , 92 , 5 , 153 , 25 , 32 , 80 , 1 , 138 , 27 , 32 , 88 , 1 , 147 , 31 , 36 , 93 , 1 , 161 , 35 , 38 , 90 , 1 , 164 , 27 , 33 , 100 , 1 , 162 , 32 , 41 , 96 , 2 , 171 , 41 , 52 , 92 , 2 , 187 , 33 , 44 , 111 , 1 , 189 , 41 , 54 , 106 , 1 , 202 
